customer_phone,apply_date_key,order_status_key,als_m12_id_nbank_orgnum,als_m3_id_nbank_min_inteday,als_m12_id_nbank_min_inteday,als_m12_id_nbank_week_orgnum,als_m12_id_min_inteday,als_d15_id_nbank_orgnum,als_m1_id_nbank_week_orgnum,als_m12_id_rel_orgnum,als_m12_id_cooff_orgnum,als_m12_id_bank_ret_orgnum,als_lst_id_nbank_consnum,als_m6_id_bank_min_inteday,als_d7_id_nbank_week_orgnum,als_m12_id_nbank_finlea_allnum,als_m12_id_bank_min_inteday,als_m12_id_af_orgnum,in_black_list,debt_pressure_index,model_risk_v7_stongyong_score,v6_seq_online,omriskscoregeneral,actual_age,gender,city_name,degree,card_num
7119b4ad6dbffee5ac46be0e8fe94408,2023-01-29,3,,,,,,,,,,,,,,,,,,24.0,53.0,30.0,597.0,57.0,male,开封市,大学本科,无信用卡
74b660b5e5d65ff6ec4970ec1a981d06,2023-01-29,3,,,,,,,,,,,,,,,,,,22.0,70.0,48.0,658.0,30.0,male,吴忠市,大学专科,2张
5fef7667c9e447f1ac1da798cfdcd88b,2023-03-09,3,1.0,-9999.0,-9999.0,0.0,1.0,0.0,-9999.0,3.0,0.0,0.0,1.0,147.0,-9999.0,0.0,10.0,0.0,,25.0,66.0,39.0,559.0,28.0,female,天水市,高中及以下,1张
44fcb7df48bddfbf318ba8b3498636a9,2023-02-25,3,2.0,-9999.0,88.0,1.0,88.0,0.0,-9999.0,0.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,24.0,43.0,38.0,694.0,29.0,male,西安市,大学本科,无信用卡
c18327f64241e3431d2361d359a301bc,2023-03-04,6,9.0,-9999.0,0.0,1.0,0.0,0.0,-9999.0,1.0,0.0,0.0,4.0,-9999.0,-9999.0,0.0,-9999.0,1.0,,29.0,53.0,48.0,571.0,25.0,male,u,大学专科,1张
51f78427cbd3c11188813340b88ee801,2023-03-20,3,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,-9999.0,1.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,27.0,66.0,31.0,591.0,21.0,male,u,大学本科,无信用卡
438f3d1f2cc1257f75b06d5f69bd7302,2023-03-17,3,4.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,30.0,54.0,50.0,556.0,32.0,male,u,高中及以下,无信用卡
23535ddff0fbcf952b0aa867612c24ce,2023-02-08,3,38.0,0.0,0.0,28.0,0.0,4.0,0.0,5.0,3.0,1.0,1.0,4.0,-9999.0,1.0,4.0,2.0,,37.0,57.0,67.0,629.0,39.0,male,西安市,大学专科,4张及以上
33167f7a533dda7cb9aa4c03f8bab610,2023-02-22,3,11.0,0.0,0.0,7.0,0.0,1.0,1.0,7.0,0.0,0.0,2.0,2.0,-9999.0,0.0,0.0,0.0,,30.0,45.0,41.0,777.0,37.0,female,西安市,高中及以下,1张
8bcff28f9e6fb83ec6978e56c9f416d2,2023-02-07,3,9.0,-9999.0,0.0,3.0,0.0,0.0,-9999.0,6.0,0.0,1.0,1.0,117.0,-9999.0,0.0,12.0,0.0,,27.0,14.0,12.0,781.0,28.0,male,延安市,大学本科,4张及以上
349d0ad66bd955573bb64ddc22f6bc0d,2023-02-23,3,2.0,-9999.0,110.0,0.0,0.0,0.0,-9999.0,9.0,0.0,0.0,1.0,0.0,-9999.0,0.0,0.0,0.0,,25.0,56.0,35.0,599.0,37.0,male,u,高中及以下,3张
e0cf89f2698188e93d1d23b264d324e4,2023-02-10,2,,,,,,,,,,,,,,,,,,21.0,17.0,20.0,900.0,33.0,male,渭南市,大学本科,2张
e4acda8f2e0a419de0909739dc91697a,2023-02-07,3,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,1.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,25.0,46.0,36.0,673.0,44.0,female,宝鸡市,高中及以下,无信用卡
63263f218963f69f5eae8e1c83a16e56,2023-02-20,3,2.0,16.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,38.0,0.0,,33.0,63.0,30.0,548.0,38.0,male,咸阳市,大学专科,1张
