gender_0,gender_1,degree_1,degree_2,degree_3,degree_4,degree_5,card_num_0,card_num_1,card_num_2,card_num_3,card_num_4,card_num_5,model_risk_v7_stongyong_score,omriskscoregeneral,als_m12_id_nbank_orgnum,als_m12_id_nbank_min_inteday,als_m12_id_min_inteday,als_m3_id_nbank_min_inteday,debt_pressure_index,v6_seq_online,als_m12_id_nbank_week_orgnum,als_lst_id_nbank_consnum,als_d15_id_nbank_orgnum,als_m1_id_nbank_week_orgnum,actual_age,order_status_key,fold
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.43914660948153805,-0.6691902687321795,2,2,2,4,-0.3838587427306741,-0.1570264087449239,4,1,1,2,-0.3958498347111744,0.0,1.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8346188837736981,-1.3774641582276108,1,1,1,1,-0.8899936610133529,0.10593387297693747,2,1,0,1,2.214718161256275,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6342781350257534,1.9757700373523217,0,1,6,1,0.2909878149795643,-0.3323332632261648,1,0,0,1,0.19746107346324593,1.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9080436282809896,-1.4217312763210752,0,1,2,1,-0.7212820215857934,1.7713489905487263,1,0,0,1,-1.3451472877902468,0.0,2.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4082939782873762,0.03908362076325183,0,1,6,1,0.2909878149795643,-0.6829469721886466,1,0,0,1,1.6214072530818546,1.0,2.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5212860566565648,-0.8683923001527695,0,1,5,1,0.2909878149795643,0.018280445736317014,1,0,0,1,-0.15852547144140627,1.0,2.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15666641355856664,-0.49212179635832165,2,5,4,5,-2.07097513700627,-0.8582538266698876,2,1,0,2,-1.1078229245204787,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6342781350257534,1.5220320768943112,1,6,7,1,0.797122733262243,-0.24467983598554435,3,1,0,1,-0.039863289806522206,0.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6820594715426123,-0.4699882373115894,6,2,2,2,1.8093925698276005,2.3849229812330695,5,1,0,2,-0.9891607428855947,0.0,2.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.368726644425479,0.29361954980067245,1,1,1,1,-1.9022634975787105,0.5442010091800398,2,1,0,1,-0.15852547144140627,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.360011941757744,-0.8905258591995018,1,1,5,1,0.9658343726898027,1.333081854345624,2,1,0,1,-2.0571203775995515,0.0,2.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.6512068403484506,1.6769669902214366,0,1,1,1,-1.0587053004409126,-1.29652096287299,1,0,0,1,-0.3958498347111744,0.0,2.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0862464485025076,0.8801588645390764,3,2,2,4,0.45969945440712384,-0.4199866904667853,5,1,1,3,-0.7518363796158266,0.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7781228445891037,-0.6802570482555456,4,3,2,4,-0.21514710330311454,0.10593387297693747,5,1,0,3,-1.2264851061553628,0.0,4.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4560753148042351,-0.8794590796761356,6,2,2,1,-0.04643546387555494,3.261457253639274,2,1,0,1,-0.7518363796158266,0.0,4.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2696584919277552,-0.237585867320901,1,5,6,5,0.45969945440712384,-0.945907253910508,2,1,1,2,-1.3451472877902468,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8037662525795362,0.6698900535951203,3,5,5,5,1.4719692909724813,-0.6829469721886466,3,1,1,2,-0.15852547144140627,0.0,4.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.06931774317981049,0.2714859907539402,1,1,5,1,0.45969945440712384,0.10593387297693747,2,1,0,2,-1.1078229245204787,0.0,4.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9732543701333191,0.9797598802493716,1,1,1,1,-0.04643546387555494,1.0701215726237625,2,1,0,1,1.5027450714469706,0.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21316245274316092,-0.24865264684426713,4,4,5,5,0.6284110938346834,0.19358730021755793,4,1,1,2,1.8587316163516228,1.0,0.0
