gender_0,gender_1,degree_1,degree_2,degree_3,degree_4,degree_5,card_num_0,card_num_1,card_num_2,card_num_3,card_num_4,card_num_5,model_risk_v7_stongyong_score,omriskscoregeneral,als_m12_id_nbank_orgnum,als_m12_id_nbank_min_inteday,als_m12_id_min_inteday,als_m3_id_nbank_min_inteday,debt_pressure_index,v6_seq_online,als_m12_id_nbank_week_orgnum,als_lst_id_nbank_consnum,als_d15_id_nbank_orgnum,als_m1_id_nbank_week_orgnum,actual_age,order_status_key,fold
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,776.0,5.0,11.0,9.0,11.0,24.0,9.0,1.0,1.0,1.0,1.0,37.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,627.0,2.0,0.0,0.0,7.0,23.0,33.0,2.0,1.0,1.0,0.0,33.0,0.0,1.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,563.0,1.0,-9999.0,-9999.0,-9999.0,20.0,36.0,0.0,1.0,0.0,-9999.0,55.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,866.0,0.0,-9999.0,60.0,-9999.0,27.0,31.0,-9999.0,0.0,0.0,-9999.0,38.0,1.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73.0,559.0,0.0,-9999.0,0.0,-9999.0,21.0,55.0,-9999.0,0.0,0.0,-9999.0,25.0,0.0,2.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,691.0,0.0,-9999.0,64.0,-9999.0,27.0,27.0,-9999.0,0.0,0.0,-9999.0,50.0,1.0,2.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,609.0,0.0,-9999.0,28.0,-9999.0,27.0,35.0,-9999.0,0.0,0.0,-9999.0,35.0,1.0,2.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,643.0,2.0,41.0,6.0,43.0,13.0,25.0,0.0,1.0,0.0,0.0,27.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,825.0,1.0,77.0,77.0,-9999.0,30.0,32.0,1.0,1.0,0.0,-9999.0,36.0,0.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0,645.0,8.0,0.0,0.0,0.0,36.0,62.0,5.0,1.0,0.0,0.0,28.0,0.0,2.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,714.0,1.0,-9999.0,-9999.0,-9999.0,14.0,41.0,0.0,1.0,0.0,-9999.0,35.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,607.0,1.0,-9999.0,28.0,-9999.0,31.0,50.0,0.0,1.0,0.0,-9999.0,19.0,0.0,2.0
