dm_id_003,dm_id_005,dm_id_009,dm_summary_001,dm_summary_002,dm_summary_003,dm_summary_004,dm_summary_005,dm_summary_006,dm_summary_007,dm_summary_011,dm_summary_012,dm_summary_013,dm_summary_014,dm_summary_015,dm_summary_018,dm_summary_021,dm_summary_023,dm_summary_024,dm_summary_025,dm_creditdetails_001,dm_creditdetails_003,dm_creditdetails_004,dm_creditdetails_005,dm_creditdetails_006,dm_creditdetails_007,dm_creditdetails_009,dm_creditdetails_011,dm_creditdetails_012,dm_creditdetails_013,dm_creditdetails_029,dm_creditdetails_030,dm_creditdetails_031,dm_creditdetails_032,dm_creditdetails_034,dm_publicdetails_008,dm_publicdetails_009,dm_creditdetails_017,dm_repayment_1_001,dm_repayment_25_001,dm_repayment_2_001,dm_repayment_15_001,dm_creditdetails_028,dm_qc_sc_01,dm_qc_sc_02,dm_qc_sc_03,dm_qc_sc_04,dm_qc_sc_05,dm_ql_sc_01,dm_ql_sc_02,dm_ql_sc_03,dm_ql_sc_04,dm_ql_sc_05,dm_qdb_sc_01,dm_qdb_sc_02,dm_qdb_sc_03,dm_qdb_sc_04,dm_qdb_sc_05,dm_qc_so_01,dm_qc_so_02,dm_qc_so_03,dm_qc_so_04,dm_qc_so_05,dm_ql_so_01,dm_ql_so_02,dm_ql_so_03,dm_ql_so_04,dm_ql_so_05,dm_qdb_so_01,dm_qdb_so_02,dm_qdb_so_03,dm_qdb_so_04,dm_qdb_so_05,overdue,dm_creditdetails_007_numerator,dm_repayment_1_001_numerator,dm_repayment_25_001_numerator,dm_repayment_2_001_numerator,dm_repayment_15_001_numerator,fold
NONE,NONE,NONE,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0
NONE,NONE,NONE,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,9.0
NONE,NONE,NONE,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,4.0
NONE,NONE,NONE,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,7.0
NONE,NONE,NONE,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.0
NONE,NONE,ZZ,6,10.036312445648633,1,0,0.0,0.0,0.0,0.0,0.0,1,7.7057128238944275,1,9.488805094878353,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,2,1,0.0,0.0,0.0,0.0,0,0,0,0.2916666666666667,0.7,0.9583333333333334,0.4166666666666667,0,4,4,11,18,18,1,1,1,4,8,1,1,1,1,1,4,4,6,7,7,1,1,1,4,8,1,1,1,1,1,0,0.0,7,42,23,25,6.0
NONE,NONE,NONE,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.5833333333333334,0.0,0.0,0,2,2,3,3,5,0,0,0,0,5,0,1,1,1,1,2,2,2,2,4,0,0,0,0,5,0,1,1,1,1,0,0.0,0,35,0,0,6.0
QT,YH,GTJY,0,0.0,0,2,0.0,0.0,7.496097345175956,7.456454555176209,0.0,0,0.0,0,8.95040315983296,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,24,3,0,0.0,8.357259153499912,0.0,8.805525052709516,110,3630,0,0.0,0.0,0.0,0.0,0,1,1,2,2,2,1,2,5,9,11,0,0,0,0,0,1,1,2,2,2,1,2,4,7,8,0,0,0,0,0,0,0.0,0,0,0,0,1.0
NONE,NONE,NONE,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,,0,0,0,0,8.0
GZ,YH,ZZ,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7,8.0774471493312,7,7.989899374942939,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,2,0,1.0986122886681098,0.0,0.0,0.0,0,0,0,0.0,0.75,0.9583333333333334,0.0,2980,0,1,1,1,3,0,0,0,1,7,0,0,0,0,0,0,1,1,1,2,0,0,0,1,6,0,0,0,0,0,1,0.0,0,45,23,0,5.0
XX,NONE,ZZ,0,0.0,0,1,8.709630081951286,8.706324840138741,8.523374050491318,8.533263371593732,8.529319371214077,0,0.0,0,0.0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.9583333333333334,0.0,0.0,0.6833333333333333,0,0,1,1,1,3,4,6,9,17,37,0,0,0,0,0,0,1,1,1,3,3,3,4,5,11,0,0,0,0,0,1,0.0,23,0,0,41,5.0
ZZ,NONE,ZZ,7,8.97094039814245,1,0,0.0,0.0,0.0,0.0,0.0,7,6.594413459749778,7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.13333333333333333,0.0,0.05,0,0,4,4,4,4,0,1,1,2,2,0,0,0,0,0,0,4,4,4,4,0,1,1,2,2,0,0,0,0,0,0,0.0,0,8,0,3,3.0
DZ,YH,ZY,0,0.0,0,6,11.472218047219139,11.66891160217169,11.661871193940463,10.310983929553371,9.112837790614945,0,0.0,0,6.089044875446846,0,0,0,7,0.0,8.728264161496178,11.706038582842382,0.0,9.16934127844149,6.0,0,0,18,1,0,0.0,0.0,0.0,6.364750756851911,0,0,0,0.0,0.0,0.0,0.0,0,1,3,3,5,8,4,6,7,7,7,0,0,0,0,0,1,3,3,4,5,4,6,7,7,7,0,0,0,0,0,0,6.0,0,0,0,0,8.0
GZ,YH,ZZ,0,0.0,0,2,10.469397774605671,10.121055589517152,10.464844680601267,10.127870335685289,9.212438170058329,0,0.0,0,5.739792912179234,0,0,0,3,0.0,8.136518252115291,8.619569258033104,8.07246736935477,8.072623363427311,1.0,0,0,3,1,0,0.0,0.0,0.0,7.030857476116121,0,0,0,0.0,0.0,0.0,0.0,0,3,3,3,5,5,0,0,0,1,2,0,0,0,0,0,3,3,3,4,4,0,0,0,1,2,0,0,0,0,0,0,0.0,0,0,0,0,9.0
DZ,YH,ZY,0,0.0,0,6,9.640237896224932,9.122710622015209,10.736853093036018,9.399389249519563,8.019941687677365,0,0.0,0,0.0,0,0,0,16,0.0,7.8628820346414905,9.17626639164243,7.502738210754851,7.2044466455915055,2.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,4,5,8,2,2,2,3,3,1,1,1,1,1,1,2,3,3,5,2,2,2,3,3,1,1,1,1,1,0,0.0,0,0,0,0,8.0
DZ,YH,ZZ,0,0.0,0,5,11.285033156133814,11.18748614131548,11.269336830028958,9.90752937336246,7.606387389772652,0,0.0,0,0.0,0,0,0,7,0.0,9.208538750029554,10.973460282995074,8.690642169706594,8.904141245524647,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,6,6,10,0,0,2,2,3,0,0,0,0,0,1,1,5,5,7,0,0,2,2,2,0,0,0,0,0,0,1.0,0,0,0,0,8.0
GZ,YH,ZZ,0,0.0,0,11,12.10299286036148,12.076083543010062,12.211711716043622,10.546156895606837,8.519390774959724,0,0.0,0,0.0,0,0,0,12,0.0,10.093694603604073,11.207405234388567,9.850192255477904,9.689532903648162,11.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,6,6,9,15,2,3,3,3,3,0,0,0,0,0,0,6,6,7,8,2,3,3,3,3,0,0,0,0,0,0,3.0,0,0,0,0,0.0
GZ,YH,GTJY,0,0.0,0,7,12.166973125032765,12.171641643375493,12.45109901198999,11.374019656008251,8.71292443512011,0,0.0,0,7.6783263565068856,0,0,0,22,0.0,10.148236027602723,10.57798693872359,10.086683726740743,9.764087544654778,9.0,0,113,2,2,0,0.0,0.0,7.421177528595393,6.621405651764134,0,0,1,0.0,0.0,0.0,0.0,0,5,5,6,6,7,3,3,3,3,3,0,0,0,0,0,4,4,5,5,6,3,3,3,3,3,0,0,0,0,0,0,0.0,0,0,0,0,4.0
ZZ,YH,ZZ,1,6.293419278846481,1,4,11.516329664103791,11.399319941347034,11.798713244381307,10.647351611387782,10.240352569152035,0,0.0,0,0.0,0,0,0,4,0.0,9.562264046489428,11.599332492710968,8.961237781491876,9.133081286429231,3.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.03333333333333333,0,3,3,3,3,3,0,0,1,1,2,0,0,0,0,0,3,3,3,3,3,0,0,1,1,2,0,0,0,0,0,0,2.0,0,0,0,2,8.0
BK,YH,QT,1,7.848153086199526,4,5,8.177796683277778,10.631543277584262,11.451592467314862,10.820797764563748,8.016647877057803,1,5.5254529391317835,1,7.8713112033234065,0,0,0,5,0.0,8.274611946209552,9.791270249415089,8.064636475774222,5.710758088392627,5.0,0,0,10,4,0,0.0,0.0,0.0,0.0,0,0,0,0.125,0.016666666666666666,0.041666666666666664,0.13333333333333333,0,0,0,1,1,6,1,1,1,2,5,0,0,0,0,0,0,0,1,1,3,1,1,1,2,4,0,0,0,0,0,0,2.0,3,1,1,8,6.0
GZ,YH,ZZ,2,3.9318256327243257,1,6,10.981573952417511,10.97645719414066,11.038447842325047,9.906532910722088,8.304247465078474,1,4.709530201312334,1,8.052296499538647,0,0,1,16,0.0,8.61830469278465,10.358250632365579,7.943072717277933,8.629253215169525,6.0,0,0,7,2,0,0.0,0.0,0.0,6.634633357861686,0,0,0,0.0,0.03333333333333333,0.0,0.03333333333333333,0,2,2,2,3,9,2,3,5,6,12,0,1,2,3,4,2,2,2,3,7,2,3,3,4,9,0,1,1,1,1,0,2.0,0,2,0,2,0.0
BK,NONE,ZZ,1,5.916202062607435,2,5,11.49832945966282,11.42355858869635,11.653217701497194,10.840384510303231,8.863757191604241,0,0.0,0,8.897135342293316,0,0,1,7,0.0,8.826587830773668,8.826587830773668,8.826587830773668,9.123670754761845,2.0,0,0,7,4,0,0.0,0.0,0.0,5.831882477283517,0,0,0,0.08333333333333333,0.0,0.0,0.06666666666666667,0,1,1,1,1,1,10,10,11,18,21,2,2,2,2,2,1,1,1,1,1,10,10,11,14,16,2,2,2,2,2,0,0.0,2,0,0,4,6.0
